-6.73 (1.020837936209543) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'adaptive', 'max_iter': 1500, 'solver': 'adam'}
-20.9 (6.706403329796784) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'adaptive', 'max_iter': 1500, 'solver': 'sgd'}
-1.66 (0.30081437420702933) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'adaptive', 'max_iter': 1500, 'solver': 'lbfgs'}
-9.23 (0.9261727582875374) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'adam'}
-21.21 (4.002272198395264) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'sgd'}
-1.3 (0.3147614239858477) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'lbfgs'}
-9.66 (2.6830205052943588) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'constant', 'max_iter': 1200, 'solver': 'adam'}
-18.81 (5.074102380465607) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'constant', 'max_iter': 1200, 'solver': 'sgd'}
-1.86 (0.48784746380678146) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'constant', 'max_iter': 1200, 'solver': 'lbfgs'}
-8.07 (1.7164117054571522) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'constant', 'max_iter': 1500, 'solver': 'adam'}
-20.28 (5.705967329837928) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'constant', 'max_iter': 1500, 'solver': 'sgd'}
-1.89 (0.4126706299899646) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'constant', 'max_iter': 1500, 'solver': 'lbfgs'}
-9.08 (0.7711692666774481) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'adam'}
-20.36 (5.247462010691319) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'sgd'}
-1.92 (0.7173679741858104) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'lbfgs'}
-9.47 (2.4635483666668794) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'adaptive', 'max_iter': 1200, 'solver': 'adam'}
-19.71 (5.989418477613945) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'adaptive', 'max_iter': 1200, 'solver': 'sgd'}
-1.3 (0.2931321993738627) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 80), 'learning_rate': 'adaptive', 'max_iter': 1200, 'solver': 'lbfgs'}
